transaction_id,account_id,customer_id,transaction_timestamp,transaction_hour,is_weekend,amount,currency,transaction_type,channel,status,merchant_id,merchant_name,merchant_category,merchant_city,merchant_country,device_id,device_type,is_new_device,ip_address,auth_method,is_card_present,is_foreign_transaction,distance_from_home_km,time_since_prev_txn_mins,txn_count_last_24h,txn_count_last_7d,amount_to_account_avg_ratio,balance_after_txn,timestamp,note,quarantine_reason,customer_id_acct,account_type,account_status,account_tier,card_type,credit_limit,current_balance,avg_monthly_balance_6m,credit_utilization_pct,num_linked_devices,avg_monthly_txn_count,overdraft_enabled,is_joint_account,open_date,close_date
TXN_0000350,ACC_000028,CUST_00019,2026-05-24 04:00:54,4,True,0.0,inr,purchase,unknown,success,MER_8031,Amazon India,ecommerce,london,GB,DEV_177971,ios,False,63.185.170.200,cvv,False,True,4958.3,0.43,2,2,0.001,10546.85,2026-05-24 04:00:54,Amazon India,amount non-positive,,,,,,,,,,,,,,,
TXN_0000271,ACC_000046,CUST_00032,2026-05-11 07:49:06,7,False,-24174.13,inr,unknown,pos,unknown,MER_1412,Croma Electronics,electronics,pune,IN,DEV_564077,pos_terminal,False,,unknown,True,False,11.5,16646.72,0,0,0.82,89306.4,2026-05-11 07:49:06,Croma Electronics,amount non-positive,,,,,,,,,,,,,,,
TXN_0000238,ACC_000097,CUST_00069,2026-05-05 17:44:36,17,False,-25.0,inr,purchase,unknown,success,MER_2854,MakeMyTrip,travel,kolkata,IN,DEV_642827,ios,False,49.34.23.8,otp,False,False,10.0,298.0,1,1,0.172,254122.86,2026-05-05 17:44:36,MakeMyTrip,amount non-positive,,,,,,,,,,,,,,,
TXN_0000524,ACC_000139,CUST_00094,2026-06-27 03:45:09,3,True,-48721.11,inr,transfer,internet_banking,success,MER_6330,QuickCash Wire Ltd,unknown,gurugram,IN,DEV_102342,windows_desktop,True,49.46.249.15,unknown,False,False,126.8,,0,0,,21008.28,2026-06-27 03:45:09,QuickCash Wire Ltd,amount non-positive,,,,,,,,,,,,,,,
TXN_0000286,ACC_000160,CUST_00108,2026-05-13 17:02:33,17,False,-19913.76,inr,purchase,unknown,success,MER_1412,Croma Electronics,electronics,chandigarh,IN,DEV_506766,pos_terminal,True,,pin,True,False,7.8,54515.58,0,0,5.141,316395.09,2026-05-13 17:02:33,Croma Electronics,amount non-positive,,,,,,,,,,,,,,,
TXN_0000839,ACC_000037,CUST_00025,NOT_AVAILABLE,18,False,13503.05,inr,purchase,pos,success,MER_1412,Croma Electronics,electronics,jaipur,IN,DEV_407645,pos_terminal,False,,unknown,True,False,281.5,17202.03,0,0,9.451,83083.43,,Croma Electronics,timestamp invalid or unparsable,,,,,,,,,,,,,,,
TXN_0000239,ACC_000141,CUST_00096,,17,False,5291.66,inr,withdrawal,atm,success,MER_2885,SBI ATM,atm_withdrawal,indore,IN,DEV_789922,atm_machine,False,,pin,True,False,2.5,252.0,1,1,2.707,10035.95,,SBI ATM,timestamp invalid or unparsable,,,,,,,,,,,,,,,
TXN_0000324,ACC_000135,CUST_00093,,13,False,9726.28,inr,purchase,unknown,success,MER_1412,Croma Electronics,unknown,london,GB,DEV_276636,windows_desktop,False,146.172.227.201,3ds,False,True,4644.8,29.77,3,3,0.594,-58010.02,,Croma Electronics,timestamp invalid or unparsable,,,,,,,,,,,,,,,
TXN_0000346,ACC_000095,CUST_00068,NOT_AVAILABLE,18,True,63265.5,inr,purchase,pos,success,MER_5005,Tanishq Jewellers,jewellery,kochi,IN,DEV_751009,pos_terminal,False,,pin,True,False,9.2,81885.35,0,0,6.218,-16935.11,,Tanishq Jewellers,timestamp invalid or unparsable,,,,,,,,,,,,,,,
TXN_0000850,ACC_000015,CUST_00009,,17,True,27366.2,inr,payment,mobile_app,success,MER_8691,NEFT Beneficiary,fund_transfer,bengaluru,IN,DEV_444622,ios,False,49.49.173.59,pin,False,False,893.0,199.0,1,1,5.817,40366.53,,NEFT Beneficiary,timestamp invalid or unparsable,,,,,,,,,,,,,,,
TXN_0000385,ACC_000072,CUST_00050,,1,False,3080.89,inr,transfer,mobile_app,success,MER_7794,Tata Power,utilities,kolkata,IN,DEV_527288,android,False,49.42.115.114,unknown,False,False,4.1,343.0,2,2,2.474,35020.58,,Tata Power,timestamp invalid or unparsable,,,,,,,,,,,,,,,
TXN_0000583,ACC_000050,CUST_00034,,12,True,161.55,inr,purchase,pos,success,MER_7380,Local Kirana Store,grocery,indore,IN,DEV_563621,pos_terminal,False,,signature,True,False,8.1,11770.8,0,0,0.018,115593.88,,Local Kirana Store,timestamp invalid or unparsable,,,,,,,,,,,,,,,
TXN_0000737,ACC_000154,CUST_00103,,8,False,899.64,inr,purchase,pos,success,MER_5795,Cafe Coffee Day,unknown,kochi,IN,DEV_849588,pos_terminal,False,,pin,True,False,9.6,147850.87,0,0,0.025,9405.17,,Cafe Coffee Day,timestamp invalid or unparsable,,,,,,,,,,,,,,,
TXN_0000466,ACC_000050,CUST_00034,,21,True,25.0,inr,purchase,pos,success,MER_7380,Local Kirana Store,grocery,indore,IN,DEV_563621,pos_terminal,True,,unknown,True,False,2.4,120030.52,0,0,0.054,167847.62,,Local Kirana Store,timestamp invalid or unparsable,,,,,,,,,,,,,,,
TXN_0000903,ACC_000155,CUST_00103,NOT_AVAILABLE,7,False,87069.66,inr,transfer,mobile_app,success,MER_8691,NEFT Beneficiary,unknown,gurugram,IN,DEV_243055,macos,False,49.43.68.132,otp,False,False,310.8,100.27,1,1,0.805,227996.97,,NEFT Beneficiary,timestamp invalid or unparsable,,,,,,,,,,,,,,,
TXN_0000108,ACC_000023,CUST_00016,2026-04-11 16:31:53,16,True,1383.84,inr,purchase,pos,success,MER_9194,PVR Cinemas,entertainment,lagos,NG,DEV_696152,pos_terminal,True,,unknown,True,True,10250.6,,0,0,,32940.79,2026-04-11 16:31:53,PVR Cinemas,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000570,ACC_000083,CUST_00059,2026-07-04 16:39:17,16,True,1483.25,inr,purchase,online,success,MER_9326,Flipkart,ecommerce,kolkata,IN,,android,True,49.54.86.181,3ds,False,False,5.1,43601.15,0,0,1.004,8373.16,2026-07-04 16:39:17,Flipkart,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000546,ACC_000054,CUST_00038,2026-06-29 00:33:39,0,False,193.13,inr,purchase,pos,success,MER_5795,Cafe Coffee Day,restaurant,panama_city,PA,DEV_467355,pos_terminal,False,,pin,True,True,8819.8,272.0,3,3,0.057,5317.51,2026-06-29 00:33:39,Cafe Coffee Day,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000202,ACC_000152,CUST_00102,2026-04-29 17:56:52,17,False,4131.73,inr,purchase,mobile_app,success,MER_6393,IRCTC Rail,travel,pune,IN,DEV_543230,android,False,,otp,False,False,1.8,312.0,1,1,2.816,29374.84,2026-04-29 17:56:52,IRCTC Rail,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000980,ACC_000094,CUST_00067,2026-09-17 15:52:06,15,False,107.68,inr,unknown,pos,success,MER_7120,Swiggy,food_delivery,pune,IN,DEV_112885,pos_terminal,False,,pin,True,False,0.2,132.0,1,1,0.004,-486216.33,2026-09-17 15:52:06,Swiggy,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000167,ACC_000114,CUST_00081,2026-04-22 00:09:54,0,False,711.09,inr,purchase,pos,success,MER_7380,Local Kirana Store,grocery,chennai,IN,DEV_943721,pos_terminal,True,,pin,True,False,2.0,256.0,1,1,28.444,113549.63,2026-04-22 00:09:54,Local Kirana Store,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000844,ACC_000066,CUST_00045,2026-08-20 18:00:48,18,False,649.68,inr,payment,internet_banking,success,MER_6813,Jio Recharge,utilities,jaipur,IN,DEV_583232,android,False,49.37.136.8,otp,False,False,1.6,220.0,1,1,0.302,47472.81,2026-08-20 18:00:48,Jio Recharge,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000779,ACC_000171,CUST_00116,2026-08-11 05:27:13,5,False,80930.9,inr,transfer,internet_banking,success,MER_9568,UPI P2P Transfer,p2p_transfer,dubai,AE,DEV_931219,ios,False,205.26.155.29,otp,False,True,6853.6,22.4,3,5,3.383,35152.82,2026-08-11 05:27:13,UPI P2P Transfer,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000503,ACC_000122,CUST_00086,2026-06-23 09:04:03,9,False,11731.2,inr,unknown,pos,success,MER_6761,Luxury Goods Direct,jewellery,indore,IN,DEV_308665,pos_terminal,True,,pin,True,False,673.5,,0,0,,10611.05,2026-06-23 09:04:03,Luxury Goods Direct,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000856,ACC_000049,CUST_00034,2026-08-24 16:17:29,16,False,831.31,inr,purchase,mobile_app,success,MER_6393,IRCTC Rail,travel,indore,IN,DEV_653429,unknown,True,49.32.147.118,otp,False,False,7.9,106353.17,0,0,0.039,100177.81,2026-08-24 16:17:29,IRCTC Rail,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000237,ACC_000082,CUST_00059,2026-05-05 17:09:58,17,False,1000.0,inr,purchase,pos,reversed,MER_5941,Duty Free Electronics,electronics,hyderabad,IN,DEV_467645,pos_terminal,False,,signature,True,False,399.2,30.55,2,2,0.07,238193.86,2026-05-05 17:09:58,Duty Free Electronics,duplicate transaction_id,,,,,,,,,,,,,,,
TXN_0000297,ACC_900007,,2026-05-14 23:57:03,23,False,15418.15,inr,purchase,online,success,MER_2854,MakeMyTrip,travel,chandigarh,IN,DEV_507888,ios,False,49.55.185.62,3ds,False,False,196.9,24.0,3,3,2.451,961.46,2026-05-14 23:57:03,MakeMyTrip,orphan account_id (no matching account),,,,,,,,,,,,,,,
TXN_0000842,ACC_900006,,2026-08-20 14:20:48,14,False,2232.72,inr,purchase,mobile_app,success,MER_9326,Flipkart,ecommerce,jaipur,IN,DEV_887017,windows_desktop,False,49.56.204.49,otp,False,False,10.0,65288.17,0,0,1.058,48122.49,2026-08-20 14:20:48,Flipkart,orphan account_id (no matching account),,,,,,,,,,,,,,,
TXN_0000090,ACC_900000,,2026-04-07 05:30:24,5,False,63761.74,inr,unknown,pos,success,MER_6761,Luxury Goods Direct,jewellery,noida,IN,DEV_222115,pos_terminal,True,,pin,True,False,6.3,,0,0,,3280.88,2026-04-07 05:30:24,Luxury Goods Direct,orphan account_id (no matching account),,,,,,,,,,,,,,,
TXN_0000026,ACC_900002,,2026-03-27 10:01:05,10,False,4950.56,inr,transfer,internet_banking,success,MER_9568,UPI P2P Transfer,p2p_transfer,ahmedabad,IN,DEV_214499,windows_desktop,True,49.41.40.142,biometric,False,False,2.1,,0,0,,104579.46,2026-03-27 10:01:05,UPI P2P Transfer,orphan account_id (no matching account),,,,,,,,,,,,,,,
TXN_0000368,ACC_900003,,2026-05-26 14:07:25,14,False,1189.34,inr,purchase,pos,failed,MER_6613,BigBazaar Retail,grocery,jaipur,IN,DEV_530016,pos_terminal,False,,pin,True,False,3.8,35815.52,0,0,47.574,147783.27,2026-05-26 14:07:25,BigBazaar Retail,orphan account_id (no matching account),,,,,,,,,,,,,,,
TXN_0000767,ACC_900004,,2026-08-09 11:35:47,11,True,6321.25,inr,transfer,mobile_app,success,MER_9568,UPI P2P Transfer,p2p_transfer,bengaluru,IN,DEV_227316,android,False,49.33.128.230,biometric,False,False,6.1,25522.18,0,0,0.281,18925.7,2026-08-09 11:35:47,UPI P2P Transfer,orphan account_id (no matching account),,,,,,,,,,,,,,,
TXN_0000526,ACC_900001,,2026-06-27 05:19:11,5,True,99825.48,inr,transfer,internet_banking,success,MER_6330,QuickCash Wire Ltd,money_transfer,indore,IN,DEV_102342,ios,False,49.35.220.126,unknown,False,False,2.1,94.03,1,1,2.049,917.69,2026-06-27 05:19:11,QuickCash Wire Ltd,orphan account_id (no matching account),,,,,,,,,,,,,,,
TXN_0000095,ACC_900005,,07/04/2026 17:26,17,False,192.93,inr,transfer,internet_banking,success,MER_7794,Tata Power,utilities,unknown,IN,,ios,False,49.37.161.175,unknown,False,False,6.1,330.0,1,1,1.392,7723.95,2026-07-04 17:26:00,Tata Power,orphan account_id (no matching account),,,,,,,,,,,,,,,
